row_index,domain_id,source_value,source_id,ground_truth_baseline,top_hits_json,standard_policy,result1_concept_id,result1_concept_name,result1_score,result1_vocabulary_id,result1_standard_concept,error
0,Condition,hemangioma,1,1,"[{""concept_id"": 441818, ""concept_name"": ""Hemangioma"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""400210000"", ""standard_concept"": ""S""}, {""concept_id"": 4291592, ""concept_name"": ""Capillary hemangioma"", ""score"": 0.8901, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""402867006"", ""standard_concept"": ""S""}, {""concept_id"": 4246665, ""concept_name"": ""Hemangioma of skin"", ""score"": 0.8596, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""93471006"", ""standard_concept"": ""S""}, {""concept_id"": 42513697, ""concept_name"": ""Neoplasm defined only by histology: Hemangioma, NOS"", ""score"": 0.8525, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9120/0-NULL"", ""standard_concept"": ""S""}, {""concept_id"": 4300577, ""concept_name"": ""Venous hemangioma"", ""score"": 0.8445, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403968005"", ""standard_concept"": ""S""}]",s_or_c,441818.0,Hemangioma,1.0,SNOMED,S,
1,Measurement,elevated bicarb,2,1,"[{""concept_id"": 607488, ""concept_name"": ""Serum bicarbonate above reference range"", ""score"": 0.779, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""1153484001"", ""standard_concept"": ""S""}, {""concept_id"": 4276431, ""concept_name"": ""Bicarbonate level - finding"", ""score"": 0.6319, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""365722008"", ""standard_concept"": ""S""}, {""concept_id"": 4326236, ""concept_name"": ""Lactic acid level above reference range"", ""score"": 0.5952, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""7501002"", ""standard_concept"": ""S""}, {""concept_id"": 4037734, ""concept_name"": ""Carboxyhemoglobin above reference range"", ""score"": 0.5924, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""131175002"", ""standard_concept"": ""S""}, {""concept_id"": 4150494, ""concept_name"": ""Serum bicarbonate measurement"", ""score"": 0.5815, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""271239003"", ""standard_concept"": ""S""}]",s_or_c,607488.0,Serum bicarbonate above reference range,0.779,SNOMED,S,
2,Observation,induced lung toxicity,3,1,"[{""concept_id"": 3661532, ""concept_name"": ""Pulmonary toxicity"", ""score"": 0.9174, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""846605006"", ""standard_concept"": ""S""}]",s_or_c,3661532.0,Pulmonary toxicity,0.9174,SNOMED,S,
3,Procedure,excisional biopsy,4,1,"[{""concept_id"": 4228202, ""concept_name"": ""Excisional biopsy"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""8889005"", ""standard_concept"": ""S""}, {""concept_id"": 4164385, ""concept_name"": ""Surgical biopsy"", ""score"": 0.898, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""274330002"", ""standard_concept"": ""S""}, {""concept_id"": 4311405, ""concept_name"": ""Biopsy"", ""score"": 0.8689, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""86273004"", ""standard_concept"": ""S""}, {""concept_id"": 4321986, ""concept_name"": ""Incisional biopsy"", ""score"": 0.8572, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""70871006"", ""standard_concept"": ""S""}, {""concept_id"": 4002731, ""concept_name"": ""Open biopsy"", ""score"": 0.7911, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""119283008"", ""standard_concept"": ""S""}]",s_or_c,4228202.0,Excisional biopsy,1.0,SNOMED,S,
4,Observation,oblique,5,4,"[{""concept_id"": 4128655, ""concept_name"": ""Oblique lateral"", ""score"": 0.8744, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""260427002"", ""standard_concept"": ""S""}, {""concept_id"": 4127788, ""concept_name"": ""Medial oblique"", ""score"": 0.7811, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""260426006"", ""standard_concept"": ""S""}, {""concept_id"": 4163437, ""concept_name"": ""Oblique body position"", ""score"": 0.7135, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""399366008"", ""standard_concept"": ""S""}, {""concept_id"": 4128653, ""concept_name"": ""Right lateral oblique"", ""score"": 0.71, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""260424009"", ""standard_concept"": ""S""}, {""concept_id"": 4124465, ""concept_name"": ""Left lateral oblique"", ""score"": 0.7011, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""260421001"", ""standard_concept"": ""S""}]",s_or_c,4128655.0,Oblique lateral,0.8744,SNOMED,S,
5,Measurement,eos,6,5,[],s_or_c,,,,,,
6,Condition,cervicogenic headache,7,1,"[{""concept_id"": 4149969, ""concept_name"": ""Cervicogenic headache"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""279016001"", ""standard_concept"": ""S""}, {""concept_id"": 4216083, ""concept_name"": ""Cervico-occipital neuralgia"", ""score"": 0.825, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""71760005"", ""standard_concept"": ""S""}, {""concept_id"": 4297976, ""concept_name"": ""Cervicobrachialgia"", ""score"": 0.8096, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""76807004"", ""standard_concept"": ""S""}, {""concept_id"": 24134, ""concept_name"": ""Neck pain"", ""score"": 0.8056, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""81680005"", ""standard_concept"": ""S""}, {""concept_id"": 4182184, ""concept_name"": ""Nuchal pain"", ""score"": 0.8013, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""297128006"", ""standard_concept"": ""S""}]",s_or_c,4149969.0,Cervicogenic headache,1.0,SNOMED,S,
7,Procedure,mammograms,8,1,"[{""concept_id"": 4324693, ""concept_name"": ""Mammography"", ""score"": 0.9543, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""71651007"", ""standard_concept"": ""S""}, {""concept_id"": 4217001, ""concept_name"": ""Specimen mammography"", ""score"": 0.9129, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""80865008"", ""standard_concept"": ""S""}, {""concept_id"": 4081556, ""concept_name"": ""Magnification mammography"", ""score"": 0.9062, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""241058008"", ""standard_concept"": ""S""}, {""concept_id"": 2006692, ""concept_name"": ""Other mammography"", ""score"": 0.8799, ""vocabulary_id"": ""ICD9Proc"", ""domain_id"": ""Procedure"", ""concept_code"": ""87.37"", ""standard_concept"": ""S""}, {""concept_id"": 4081881, ""concept_name"": ""Localization mammography"", ""score"": 0.8671, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""241056007"", ""standard_concept"": ""S""}]",s_or_c,4324693.0,Mammography,0.9543,SNOMED,S,
8,Measurement,plt,9,1,"[{""concept_id"": 1298619, ""concept_name"": ""PF"", ""score"": 0.5825, ""vocabulary_id"": ""EORTC QLQ"", ""domain_id"": ""Measurement"", ""concept_code"": ""SS100"", ""standard_concept"": ""C""}]",s_or_c,1298619.0,PF,0.5825,EORTC QLQ,C,
9,Observation,weight is increasing,10,1,"[{""concept_id"": 4134784, ""concept_name"": ""Weight increased"", ""score"": 0.9457, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""262286000"", ""standard_concept"": ""S""}, {""concept_id"": 35819235, ""concept_name"": ""Gained weight"", ""score"": 0.9323, ""vocabulary_id"": ""UK Biobank"", ""domain_id"": ""Observation"", ""concept_code"": ""507-1"", ""standard_concept"": ""S""}, {""concept_id"": 1704133, ""concept_name"": ""Gained weight"", ""score"": 0.9323, ""vocabulary_id"": ""PPI"", ""domain_id"": ""Observation"", ""concept_code"": ""ehhwb_25"", ""standard_concept"": ""S""}, {""concept_id"": 439141, ""concept_name"": ""Abnormal weight gain"", ""score"": 0.9263, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""161833006"", ""standard_concept"": ""S""}, {""concept_id"": 4074313, ""concept_name"": ""Excessive weight gain"", ""score"": 0.902, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""224994002"", ""standard_concept"": ""S""}]",s_or_c,4134784.0,Weight increased,0.9457,SNOMED,S,
