row_index,domain_id,source_value,source_id,ground_truth_concept_id,ground_truth_concept_name,top_hits_json,standard_policy,result1_concept_id,result1_concept_name,result1_score,result1_vocabulary_id,result1_standard_concept,error
0,Condition,Esophageal varix without bleeding,1,22340,esophageal varices without bleeding,[],s_or_c,,,,,,
1,Condition,Chronic tonsillitis,2,23220,chronic tonsillitis,"[{""concept_id"": 23220, ""concept_name"": ""Chronic tonsillitis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""90979004"", ""standard_concept"": ""S""}, {""concept_id"": 439851, ""concept_name"": ""Chronic adenoiditis"", ""score"": 0.8801, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""232420002"", ""standard_concept"": ""S""}, {""concept_id"": 4170138, ""concept_name"": ""Chronic disease of tonsil"", ""score"": 0.8752, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""275486007"", ""standard_concept"": ""S""}, {""concept_id"": 4234533, ""concept_name"": ""Tonsillitis"", ""score"": 0.8739, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""90176007"", ""standard_concept"": ""S""}, {""concept_id"": 432347, ""concept_name"": ""Chronic disease of tonsils AND/OR adenoids"", ""score"": 0.8681, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""16358007"", ""standard_concept"": ""S""}]",s_or_c,23220.0,Chronic tonsillitis,1.0,SNOMED,S,
2,Condition,Neck pain,3,24134,neck pain,"[{""concept_id"": 24134, ""concept_name"": ""Neck pain"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""81680005"", ""standard_concept"": ""S""}, {""concept_id"": 37310729, ""concept_name"": ""Mechanical neck pain"", ""score"": 0.9102, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""144961000000109"", ""standard_concept"": ""S""}, {""concept_id"": 4182184, ""concept_name"": ""Nuchal pain"", ""score"": 0.8955, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""297128006"", ""standard_concept"": ""S""}, {""concept_id"": 43530622, ""concept_name"": ""Chronic neck pain"", ""score"": 0.8952, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1121000119107"", ""standard_concept"": ""S""}, {""concept_id"": 4133638, ""concept_name"": ""Pain in cervical spine"", ""score"": 0.881, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""279029001"", ""standard_concept"": ""S""}]",s_or_c,24134.0,Neck pain,1.0,SNOMED,S,
3,Condition,Hypoglycemia,4,24609,hypoglycemia,"[{""concept_id"": 24609, ""concept_name"": ""Hypoglycemia"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""302866003"", ""standard_concept"": ""S""}, {""concept_id"": 30361, ""concept_name"": ""Hypoglycemic disorder"", ""score"": 0.9627, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""237630007"", ""standard_concept"": ""S""}, {""concept_id"": 4154498, ""concept_name"": ""Hypoglycemic syndrome"", ""score"": 0.9465, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""271327008"", ""standard_concept"": ""S""}, {""concept_id"": 4139861, ""concept_name"": ""Dysglycemia"", ""score"": 0.9048, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""426255005"", ""standard_concept"": ""S""}, {""concept_id"": 4320478, ""concept_name"": ""Fasting hypoglycemia"", ""score"": 0.8833, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""6974005"", ""standard_concept"": ""S""}]",s_or_c,24609.0,Hypoglycemia,1.0,SNOMED,S,
4,Condition,acute tonsilitis,5,24660,acute tonsillitis,"[{""concept_id"": 24660, ""concept_name"": ""Acute tonsillitis"", ""score"": 0.9742, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""17741008"", ""standard_concept"": ""S""}, {""concept_id"": 4234533, ""concept_name"": ""Tonsillitis"", ""score"": 0.9149, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""90176007"", ""standard_concept"": ""S""}, {""concept_id"": 4109897, ""concept_name"": ""Acute catarrhal tonsillitis"", ""score"": 0.9043, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""195669000"", ""standard_concept"": ""S""}, {""concept_id"": 4083666, ""concept_name"": ""Inflamed tonsils"", ""score"": 0.899, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""281795003"", ""standard_concept"": ""S""}, {""concept_id"": 4109896, ""concept_name"": ""Acute ulcerative tonsillitis"", ""score"": 0.8831, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""195668008"", ""standard_concept"": ""S""}]",s_or_c,24660.0,Acute tonsillitis,0.9742,SNOMED,S,
5,Condition,acute pharyngitis,6,25297,acute pharyngitis,"[{""concept_id"": 25297, ""concept_name"": ""Acute pharyngitis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""363746003"", ""standard_concept"": ""S""}, {""concept_id"": 4226263, ""concept_name"": ""Pharyngitis"", ""score"": 0.9218, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""405737000"", ""standard_concept"": ""S""}, {""concept_id"": 4109893, ""concept_name"": ""Acute phlegmonous pharyngitis"", ""score"": 0.9145, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""195656004"", ""standard_concept"": ""S""}, {""concept_id"": 23798, ""concept_name"": ""Acute laryngopharyngitis"", ""score"": 0.9003, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""55355000"", ""standard_concept"": ""S""}]",s_or_c,25297.0,Acute pharyngitis,1.0,SNOMED,S,
6,Condition,Parotid disease,7,25572,disorder of salivary gland,"[{""concept_id"": 25572, ""concept_name"": ""Disorder of salivary gland"", ""score"": 0.8712, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""10890000"", ""standard_concept"": ""S""}, {""concept_id"": 4106572, ""concept_name"": ""Hypertrophy of parotid gland"", ""score"": 0.8283, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""29748005"", ""standard_concept"": ""S""}, {""concept_id"": 4055628, ""concept_name"": ""Atrophy of parotid gland"", ""score"": 0.8197, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""196474009"", ""standard_concept"": ""S""}, {""concept_id"": 4106676, ""concept_name"": ""Disorder of salivary structure"", ""score"": 0.8057, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""283015002"", ""standard_concept"": ""S""}, {""concept_id"": 44809434, ""concept_name"": ""Chronic sialosis of parotid gland"", ""score"": 0.7948, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""845571000000104"", ""standard_concept"": ""S""}]",s_or_c,25572.0,Disorder of salivary gland,0.8712,SNOMED,S,
7,Condition,Laryngeal cancer,8,26052,primary malignant neoplasm of larynx,"[{""concept_id"": 4172359, ""concept_name"": ""Carcinoma of larynx"", ""score"": 0.9349, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""276975007"", ""standard_concept"": ""S""}, {""concept_id"": 4178968, ""concept_name"": ""Malignant tumor of larynx"", ""score"": 0.9333, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""363429002"", ""standard_concept"": ""S""}, {""concept_id"": 36547551, ""concept_name"": ""Epithelioma, malignant of larynx, NOS"", ""score"": 0.8978, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8011/3-C32.9"", ""standard_concept"": ""S""}, {""concept_id"": 26052, ""concept_name"": ""Primary malignant neoplasm of larynx"", ""score"": 0.8523, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""371995001"", ""standard_concept"": ""S""}, {""concept_id"": 37166192, ""concept_name"": ""Primary carcinoma of larynx"", ""score"": 0.8436, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1259321002"", ""standard_concept"": ""S""}]",s_or_c,4172359.0,Carcinoma of larynx,0.9349,SNOMED,S,
8,Condition,Esophageal cancer,9,26638,primary malignant neoplasm of esophagus,"[{""concept_id"": 4181343, ""concept_name"": ""Malignant tumor of esophagus"", ""score"": 0.9487, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""363402007"", ""standard_concept"": ""S""}, {""concept_id"": 4162997, ""concept_name"": ""Carcinoma of esophagus"", ""score"": 0.9482, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""372138000"", ""standard_concept"": ""S""}, {""concept_id"": 36557475, ""concept_name"": ""Epithelioma, malignant of esophagus, NOS"", ""score"": 0.9179, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8011/3-C15.9"", ""standard_concept"": ""S""}, {""concept_id"": 26638, ""concept_name"": ""Primary malignant neoplasm of esophagus"", ""score"": 0.8824, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""371984007"", ""standard_concept"": ""S""}, {""concept_id"": 36536410, ""concept_name"": ""Epithelioma, malignant of overlapping lesion of esophagus"", ""score"": 0.8331, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8011/3-C15.8"", ""standard_concept"": ""S""}]",s_or_c,4181343.0,Malignant tumor of esophagus,0.9487,SNOMED,S,
9,Condition,hematemesis,10,26727,hematemesis,"[{""concept_id"": 26727, ""concept_name"": ""Hematemesis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""8765009"", ""standard_concept"": ""S""}, {""concept_id"": 4204041, ""concept_name"": ""Hematemesis of unknown cause"", ""score"": 0.8072, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""308904008"", ""standard_concept"": ""S""}, {""concept_id"": 4145805, ""concept_name"": ""Vomiting blood - fresh"", ""score"": 0.7854, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""267051003"", ""standard_concept"": ""S""}, {""concept_id"": 4071070, ""concept_name"": ""Neonatal hematemesis"", ""score"": 0.7311, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""206423004"", ""standard_concept"": ""S""}, {""concept_id"": 4246979, ""concept_name"": ""Coffee ground vomiting"", ""score"": 0.7288, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""40835002"", ""standard_concept"": ""S""}]",s_or_c,26727.0,Hematemesis,1.0,SNOMED,S,
